module,rank,record id,file name,mount pt,fs type,STDIO_BYTES_READ,STDIO_BYTES_WRITTEN,STDIO_FASTEST_RANK,STDIO_FASTEST_RANK_BYTES,STDIO_FDOPENS,STDIO_FLUSHES,STDIO_F_CLOSE_END_TIMESTAMP,STDIO_F_CLOSE_START_TIMESTAMP,STDIO_F_FASTEST_RANK_TIME,STDIO_F_META_TIME,STDIO_F_OPEN_END_TIMESTAMP,STDIO_F_OPEN_START_TIMESTAMP,STDIO_F_READ_END_TIMESTAMP,STDIO_F_READ_START_TIMESTAMP,STDIO_F_READ_TIME,STDIO_F_SLOWEST_RANK_TIME,STDIO_F_VARIANCE_RANK_BYTES,STDIO_F_VARIANCE_RANK_TIME,STDIO_F_WRITE_END_TIMESTAMP,STDIO_F_WRITE_START_TIMESTAMP,STDIO_F_WRITE_TIME,STDIO_MAX_BYTE_READ,STDIO_MAX_BYTE_WRITTEN,STDIO_OPENS,STDIO_READS,STDIO_SEEKS,STDIO_SLOWEST_RANK,STDIO_SLOWEST_RANK_BYTES,STDIO_WRITES
STDIO,0,6282532744576040162,/projects/bdau/envs/sc2026/bin/dlio_benchmark,/projects,lustre,3,0,0,0,0,0,0.054156,0.054148,0.000000,0.000022,0.053887,0.053874,0.054015,0.053925,0.000082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,1,2,1,0,0,0
STDIO,0,9492165862856745712,/projects/bdau/envs/sc2026/ssl/openssl.cnf,/projects,lustre,12324,0,0,0,0,0,0.635763,0.635754,0.000000,0.000628,0.635282,0.634663,0.635611,0.635383,0.000088,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12323,0,1,390,0,0,0,0
