workload,model,status,paper_bw_speedup,walltime_at_paper_best,tool_at_paper_best,best_walltime_speedup,best_iter_bw,best_iter_walltime,best_iter_agrees,n_decision_disagreements,bytes_ratio,ops_ratio,opens_ratio,work_changed,work_source,bytes_configured_ratio,files_configured_ratio,record_cap_hit,guarded_walltime,n_phases,primary_log,note
ior_interface_shared,claude-sonnet,already_healthy,1.0,,,,-1,,,0,,,,,,,,,,,,excluded by classifier (already_healthy); no iterations
ior_interface_shared,gpt-4o,already_healthy,1.0,,,,-1,,,0,,,,,,,,,,,,excluded by classifier (already_healthy); no iterations
ior_interface_shared,gpt-4.1-mini,already_healthy,1.0,,,,-1,,,0,,,,,,,,,,,,excluded by classifier (already_healthy); no iterations
ior_interface_shared,llama-70b,already_healthy,1.0,,,,-1,,,0,,,,,,,,,,,,excluded by classifier (already_healthy); no iterations
ior_misaligned,claude-sonnet,converged,158.72,87.6207609099376,143.4837545126354,87.6207609099376,0,0,True,0,1.048576,0.001,1.0,False,darshan,,,False,87.6207609099376,1,mbanisha_ior_id17318924-2503533_4-6-5339-11406087098867523269_1.darshan,
ior_misaligned,gpt-4o,converged,2.11,1.8238969621401195,2.137046285238664,1.8238969621401195,0,0,True,0,1.048576,0.001,1.0,False,darshan,,,False,1.8238969621401195,1,mbanisha_ior_id17318840-3022862_4-6-5078-4565520575987012376_1.darshan,
ior_misaligned,gpt-4.1-mini,converged,14.99,26.68579691887145,42.86093281985451,26.68579691887145,0,0,True,0,1.048576,0.001,1.0,False,darshan,,,False,26.68579691887145,1,mbanisha_ior_id17338570-3889308_4-6-54514-15876515175877233515_1.darshan,
ior_misaligned,llama-70b,converged,30.22,29.25430437135259,40.385493619879114,29.25430437135259,0,0,True,0,1.048576,0.001,1.0,False,darshan,,,False,29.25430437135259,1,mbanisha_ior_id17318852-3583160_4-6-5117-7547530622843798461_1.darshan,
ior_random_access,claude-sonnet,converged,15.51,17.758133818616834,19.611892387649036,17.758133818616834,0,0,True,0,1.0,0.0625,1.0,False,darshan,,,False,17.758133818616834,1,mbanisha_ior_id17318925-2503495_4-6-5339-7859826261341204829_1.darshan,
ior_random_access,gpt-4o,converged,12.34,13.584253986547404,14.47128894318876,13.584253986547404,0,0,True,0,1.0,0.0625,1.0,False,darshan,,,False,13.584253986547404,1,mbanisha_ior_id17318920-1648003_4-6-5340-14295158870902926670_1.darshan,
ior_random_access,gpt-4.1-mini,converged,1.0,1.0,1.0,2.7341874351928666,-1,0,False,1,1.0,1.0,1.0,False,,,,,1.0,,mbanisha_ior_id17338430-1228238_4-6-54354-12996129539005102230_1.darshan,loop kept the baseline config (no iteration improved bw)
