module,rank,record id,file name,mount pt,fs type,LUSTRE_COMP1_EXT_END,LUSTRE_COMP1_EXT_START,LUSTRE_COMP1_FLAGS,LUSTRE_COMP1_MIRROR_ID,LUSTRE_COMP1_OST_ID_0,LUSTRE_COMP1_POOL_NAME,LUSTRE_COMP1_STRIPE_COUNT,LUSTRE_COMP1_STRIPE_PATTERN,LUSTRE_COMP1_STRIPE_SIZE,LUSTRE_NUM_COMPONENTS,LUSTRE_NUM_STRIPES
LUSTRE,0,1305504808743725551,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t256_n16_r1.00000000,/work,lustre,-1,0,0,0,97,ddn_hdd,1,raid0,1048576,1,1
LUSTRE,1,10991816924216698422,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t256_n16_r1.00000001,/work,lustre,-1,0,0,0,96,ddn_hdd,1,raid0,1048576,1,1
LUSTRE,10,4763714152961162847,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t256_n16_r1.00000010,/work,lustre,-1,0,0,0,100,ddn_hdd,1,raid0,1048576,1,1
LUSTRE,11,2779531116638840692,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t256_n16_r1.00000011,/work,lustre,-1,0,0,0,102,ddn_hdd,1,raid0,1048576,1,1
LUSTRE,12,8928332115042960029,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t256_n16_r1.00000012,/work,lustre,-1,0,0,0,104,ddn_hdd,1,raid0,1048576,1,1
LUSTRE,13,13331939878306544429,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t256_n16_r1.00000013,/work,lustre,-1,0,0,0,103,ddn_hdd,1,raid0,1048576,1,1
LUSTRE,14,7779643148677831808,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t256_n16_r1.00000014,/work,lustre,-1,0,0,0,104,ddn_hdd,1,raid0,1048576,1,1
LUSTRE,15,7483144235127141880,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t256_n16_r1.00000015,/work,lustre,-1,0,0,0,98,ddn_hdd,1,raid0,1048576,1,1
LUSTRE,2,17157080975382945047,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t256_n16_r1.00000002,/work,lustre,-1,0,0,0,107,ddn_hdd,1,raid0,1048576,1,1
LUSTRE,3,8361890938708452389,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t256_n16_r1.00000003,/work,lustre,-1,0,0,0,100,ddn_hdd,1,raid0,1048576,1,1
LUSTRE,4,18131324608602118845,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t256_n16_r1.00000004,/work,lustre,-1,0,0,0,99,ddn_hdd,1,raid0,1048576,1,1
LUSTRE,5,13362976083469881968,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t256_n16_r1.00000005,/work,lustre,-1,0,0,0,101,ddn_hdd,1,raid0,1048576,1,1
LUSTRE,6,1364631387590099949,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t256_n16_r1.00000006,/work,lustre,-1,0,0,0,106,ddn_hdd,1,raid0,1048576,1,1
LUSTRE,7,5972525812111118750,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t256_n16_r1.00000007,/work,lustre,-1,0,0,0,96,ddn_hdd,1,raid0,1048576,1,1
LUSTRE,8,3627547981898201799,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t256_n16_r1.00000008,/work,lustre,-1,0,0,0,107,ddn_hdd,1,raid0,1048576,1,1
LUSTRE,9,15843887940025094873,/work/hdd/bdau/mbanisharifdehkordi/bench_scratch/bottleneck/ior_small_posix_t256_n16_r1.00000009,/work,lustre,-1,0,0,0,99,ddn_hdd,1,raid0,1048576,1,1
